发短信给[爸爸,arg1]
回个短信给[妈妈,arg1]
传消息给[爷爷,arg1]
传短信给[爸爸,arg1]
传消息给[大婶,arg1]
回复短信给[爸爸,arg1]
发条信息给[爸爸,arg1]
发条信息给[10086,arg1]告诉她[你是谁,arg0]
发短信给[13512345678,arg1]告诉她[你是谁,arg0]
发短信给[10086,arg1]告诉他[我是谁,arg0]
发信息给[10086,arg1]告诉他[我是谁,arg0]
传短信给[10086,arg1]跟他说[我是谁,arg0]
传消息给[10086,arg1]说[我是谁,arg0]
回短信给[10086,arg1]说[我是谁,arg0]
回信息给[10086,arg1]跟她说[我是谁,arg0]
写消息给[10086,arg1]说[我是谁,arg0]
发个短信给[10086,arg1]问他[我是谁,arg0]
发送信息给[10086,arg1]问她[你是谁,arg0]
发信息给[13512345678,arg1]告诉他[你是谁,arg0]
回消息给[13512345678,arg1]跟他说[你是谁,arg0]
写消息给[13512345678,arg1]跟她说[你是谁,arg0]
回复短信给[13512345678,arg1]跟她说[你是谁,arg0]
回复信息给[13512345678,arg1]告诉他[你是谁,arg0]
回复信息给[13512345678,arg1]说[你是谁,arg0]
发个短信给[13512345678,arg1]问他[你是谁,arg0]
发送短信给[13512345678,arg1]说[你是谁,arg0]
发送信息给[13512345678,arg1]问她[你是谁,arg0]
传短信给[10086,arg1]跟她说[早点回去休息,arg0]
写短信给[10086,arg1]告诉她[早点回去休息,arg0]
回复消息给[10086,arg1]跟她说[早点回去休息,arg0]
发个短信给[10086,arg1]问他[早点回去休息,arg0]
发个消息给[10086,arg1]告诉她[早点回去休息,arg0]
发个信息给[10086,arg1]问她[早点回去休息,arg0]
发条短信给[10086,arg1]问他[早点回去休息,arg0]
发送短信给[10086,arg1]问她[早点回去休息,arg0]
发消息给[13512345678,arg1]告诉她[早点回去休息,arg0]
发送短信给[13512345678,arg1]告诉他[早点回去休息,arg0]
